university_id,university_name,country_name,wb_country_code,wb_region,wb_income_group
U0437,murdoch university,Australia,AUS,East Asia & Pacific,High income: OECD
U0445,james cook university,Australia,AUS,East Asia & Pacific,High income: OECD
U0453,national taiwan normal university,Taiwan,,,
U0459,university of guelph,Canada,CAN,North America,High income: OECD
U0465,kobe university,Japan,JPN,East Asia & Pacific,High income: OECD
U0475,hiroshima university,Japan,JPN,East Asia & Pacific,High income: OECD
U0486,national sun yat-sen university,Taiwan,,,
U0495,central queensland university (cquniversity australia),Australia,AUS,East Asia & Pacific,High income: OECD
U0508,aristotle university of thessaloniki,Greece,GRC,Europe & Central Asia,High income: OECD
U0516,ateneo de manila university,Philippines,PHL,East Asia & Pacific,Lower middle income
U0517,edith cowan university,Australia,AUS,East Asia & Pacific,High income: OECD
U0541,hitotsubashi university,Japan,JPN,East Asia & Pacific,High income: OECD
U0550,university of iceland,Iceland,ISL,Europe & Central Asia,High income: OECD
U0551,university of windsor,Canada,CAN,North America,High income: OECD
U0557,university of dhaka,Bangladesh,BGD,South Asia,Low income
U0578,southern cross university,Australia,AUS,East Asia & Pacific,High income: OECD
U0587,bond university,Australia,AUS,East Asia & Pacific,High income: OECD
U0606,national chengchi university,Taiwan,,,
U0610,university of crete,Greece,GRC,Europe & Central Asia,High income: OECD
U0617,eastern mediterranean university,Northern Cyprus,,,
U0619,taipei medical university (tmu),Taiwan,,,
U0625,charles darwin university,Australia,AUS,East Asia & Pacific,High income: OECD
U0636,chang gung university,Taiwan,,,
U0645,de la salle university,Philippines,PHL,East Asia & Pacific,Lower middle income
U0649,national central university,Taiwan,,,
U0651,ritsumeikan university,Japan,JPN,East Asia & Pacific,High income: OECD
U0668,memorial university of newfoundland,Canada,CAN,North America,High income: OECD
U0669,national chung hsing university,Taiwan,,,
U0671,tokyo medical and dental university (tmdu),Japan,JPN,East Asia & Pacific,High income: OECD
U0673,university of manitoba,Canada,CAN,North America,High income: OECD
U0690,university of new brunswick,Canada,CAN,North America,High income: OECD
U0742,carleton university,Canada,CAN,North America,High income: OECD
U0751,victoria university,Australia,AUS,East Asia & Pacific,High income: OECD
U0757,tokyo university of science,Japan,JPN,East Asia & Pacific,High income: OECD
U0765,bangladesh university of engineering and technology,Bangladesh,BGD,South Asia,Low income
U0770,university of patras,Greece,GRC,Europe & Central Asia,High income: OECD
U0771,addis ababa university,Ethiopia,ETH,Sub-Saharan Africa,Low income
U0773,chiba university,Japan,JPN,East Asia & Pacific,High income: OECD
