university_id,university_name,country_name,openalex_id,openalex_display_name,openalex_country_code,openalex_country,openalex_ror,openalex_works_count,openalex_works_2023,openalex_works_2024,openalex_works_2025
U0210,national tsing hua university,Taiwan,,,,,,,,,
U0211,indian institute of science,India,,,,,,,,,
U0212,albert-ludwigs-universitaet freiburg,Germany,,,,,,,,,
U0213,queensland university of technology (qut),Australia,,,,,,,,,
U0214,university of otago,New Zealand,,,,,,,,,
U0215,national cheng kung university (ncku),Taiwan,,,,,,,,,
U0216,university of florida,United States,,,,,,,,,
U0217,la trobe university,Australia,,,,,,,,,
U0218,"university of maryland, college park",United States,,,,,,,,,
U0219,national yang ming chiao tung university,Taiwan,,,,,,,,,
U0220,universidad nacional de colombia,Colombia,,,,,,,,,
U0221,vrije universiteit amsterdam,Netherlands,,,,,,,,,
U0222,eberhard karls universität tübingen,Germany,,,,,,,,,
U0223,indian institute of technology kharagpur (iit-kgp),India,,,,,,,,,
U0224,friedrich-alexander-universität erlangen-nürnberg,Germany,,,,,,,,,
U0225,loughborough university,United Kingdom,,,,,,,,,
U0226,university of lausanne,Switzerland,,,,,,,,,
U0227,indian institute of technology madras (iitm),India,,,,,,,,,
U0228,rheinische friedrich-wilhelms-universität bonn,Germany,,,,,,,,,
U0229,chulalongkorn university,Thailand,,,,,,,,,
U0230,maastricht university,Netherlands,,,,,,,,,
U0231,universite libre de bruxelles,Belgium,,,,,,,,,
U0232,universidade estadual de campinas (unicamp),Brazil,,,,,,,,,
U0233,university of twente,Netherlands,,,,,,,,,
U0234,technische universität dresden,Germany,,,,,,,,,
U0235,university of waikato,New Zealand,,,,,,,,,
U0236,università di padova,Italy,,,,,,,,,
U0237,university of aberdeen,United Kingdom,,,,,,,,,
U0238,university of rochester,United States,,,,,,,,,
U0239,gadjah mada university,Indonesia,,,,,,,,,
U0240,massey university,New Zealand,,,,,,,,,
U0241,politecnico di torino,Italy,,,,,,,,,
U0242,technical university of darmstadt,Germany,,,,,,,,,
U0243,dartmouth college,United States,,,,,,,,,
U0244,victoria university of wellington,New Zealand,,,,,,,,,
U0245,university of macau,Macau SAR,,,,,,,,,
U0246,charles university,Czech Republic,,,,,,,,,
