University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,QS_Rank_Numeric,THE_Rank_Numeric,THE_Overall_Score_Numeric,university_id,country_id,kpi1_global_ranking_score,kpi2_research_impact_score,kpi3_students_per_staff_num,kpi3_faculty_to_student_ratio,kpi4_international_student_pct,kpi5_academic_reputation_score,kpi6_research_productivity_index
Emory University,United States,196,46.6,25.2,19.0,93.8,78.4,52.2,33.9,85.6,22.8,37.0,=106,66.1,53.1,45.7,95.5,81.6,69.3,"13,127",4.0,19%,61 : 39,196.0,106.0,66.1,U0363,UN,46.6,78.4,4.0,1:4.0,19%,25.2,57.86
ENSTA Bretagne,France,,,,,,,,,,,,501–600,41.9–45.3,39.4,28.6,48.1,75.5,68.9,652,8.6,18%,26 : 74,,501.0,43.599999999999994,U0364,FR,43.599999999999994,48.1,8.6,1:8.6,18%,,39.62
EPFL,Switzerland,26,83.5,84.2,67.2,91.2,93.6,100.0,100.0,81.7,27.2,86.7,,,,,,,,,,,,26.0,,,U0365,SW,83.5,93.6,,,,84.2,41.75
Erasmus University Rotterdam ,Netherlands,158,51.5,37.0,58.2,18.1,63.3,76.0,70.0,85.4,89.3,28.7,=99,66.7,38.5,54.1,96.9,94.7,90.6,"33,874",36.0,25%,54 : 46,158.0,99.0,66.7,U0366,NE,51.5,63.3,36.0,1:36.0,25%,37.0,62.84
Erciyes Üniversitesi,Turkey,1201-1400,,4.4,3.0,2.0,5.3,3.1,5.7,45.1,1.7,8.8,,,,,,,,,,,,1201.0,,,U0367,TU,,5.3,,,,4.4,14.99
Erciyes University,Turkey,,,,,,,,,,,,1201–1500,22.8–28.2,20.9,16.1,36.1,57.0,29.3,"51,907",37.2,6%,46 : 54,,1201.0,25.5,U0368,TU,25.5,36.1,37.2,1:37.2,6%,,19.86
Erzincan Binali Yıldırım University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,12.0,8.7,37.6,16.6,23.7,"24,096",21.9,4%,49 : 51,,1501.0,16.2,U0369,TU,16.2,37.6,21.9,1:21.9,4%,,15.08
Escuela Politécnica Nacional,Ecuador,1201-1400,,6.9,9.2,16.6,3.4,5.0,1.6,14.9,5.0,1.3,1501+,9.7–22.7,18.2,9.4,29.0,18.6,52.1,"7,458",13.2,1%,28 : 72,1201.0,1501.0,16.2,U0370,EC,16.2,3.4,13.2,1:13.2,1%,6.9,11.95
Escuela Superior Politécnica del Litoral (ESPOL),Ecuador,1001-1200,,14.3,8.4,22.4,2.6,12.0,1.6,27.5,8.6,22.7,1201–1500,22.8–28.2,20.4,9.5,32.3,18.3,56.4,"10,271",10.4,1%,39 : 61,1001.0,1201.0,25.5,U0371,EC,25.5,2.6,10.4,1:10.4,1%,14.3,12.8
Eskişehir Osmangazi University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,21.5,16.6,20.5,19.2,27.0,"30,301",17.5,7%,45 : 55,,1501.0,16.2,U0372,TU,16.2,20.5,17.5,1:17.5,7%,,14.83
"Essex, University of",United Kingdom,472,25.3,15.5,5.2,12.7,22.6,99.8,98.6,75.1,14.0,13.2,,,,,,,,,,,,472.0,,,U0373,UN,25.3,22.6,,,,15.5,20.24
ETH Zurich,Switzerland,,,,,,,,,,,,11,93.1,87.6,96.8,95.6,82.9,95.6,"22,619",15.4,43%,33 : 67,,11.0,93.1,U0374,SW,93.1,95.6,15.4,1:15.4,43%,,96.22
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,7,93.9,98.8,87.2,65.9,97.9,100.0,98.6,95.7,90.5,98.8,,,,,,,,,,,,7.0,,,U0375,SW,93.9,97.9,,,,98.8,43.06
European University of Madrid,Spain,,,,,,,,,,,,1001–1200,28.3–32.6,21.5,10.9,54.3,17.7,61.7,"11,416",12.0,30%,50 : 50,,1001.0,30.450000000000003,U0376,SP,30.450000000000003,54.3,12.0,1:12.0,30%,,30.48
Ewha Womans University,South Korea,511,23.8,22.1,21.2,76.3,6.9,7.0,24.4,31.3,23.0,34.2,601–800,37.0–41.8,37.6,35.3,44.5,82.8,49.6,"13,999",16.7,15%,100 : 0,511.0,601.0,39.4,U0377,SO,23.8,6.9,16.7,1:16.7,15%,22.1,25.98
Far Eastern Federal University,Russian Federation,631-640,,12.8,5.5,96.7,1.7,10.8,63.1,41.7,5.1,1.1,1201–1500,22.8–28.2,31.5,19.6,21.0,26.6,62.7,"15,631",12.9,21%,59 : 41,631.0,1201.0,25.5,U0378,RU,25.5,1.7,12.9,1:12.9,21%,12.8,19.34
Fayoum University,Egypt,,,,,,,,,,,,1001–1200,28.3–32.6,15.9,11.9,65.5,24.9,46.4,"46,689",18.0,0%,62 : 38,,1001.0,30.450000000000003,U0379,EG,30.450000000000003,65.5,18.0,1:18.0,0%,,30.7
Federal Rural University of Pernambuco,Brazil,,,,,,,,,,,,1501+,9.7–22.7,25.0,11.0,19.1,20.0,23.4,"14,347",12.3,0%,49 : 51,,1501.0,16.2,U0380,BR,16.2,19.1,12.3,1:12.3,0%,,10.6
"Federal University of Agriculture, Abeokuta",Nigeria,,,,,,,,,,,,1501+,9.7–22.7,15.6,8.0,24.5,17.0,31.4,"17,433",26.5,0%,52 : 48,,1501.0,16.2,U0381,NI,16.2,24.5,26.5,1:26.5,0%,,12.6
Federal University of Espírito Santo,Brazil,,,,,,,,,,,,1201–1500,22.8–28.2,24.7,15.7,25.1,47.3,28.8,"24,728",13.3,1%,55 : 45,,1201.0,25.5,U0382,BR,25.5,25.1,13.3,1:13.3,1%,,16.19
Federal University of Goiás,Brazil,,,,,,,,,,,,1201–1500,22.8–28.2,30.0,13.8,26.2,30.8,27.7,"25,332",13.3,1%,50 : 50,,1201.0,25.5,U0383,BR,25.5,26.2,13.3,1:13.3,1%,,15.26
Federal University of Itajubá,Brazil,,,,,,,,,,,,1501+,9.7–22.7,17.7,9.6,21.3,20.5,28.0,"8,608",17.3,1%,30 : 70,,1501.0,16.2,U0384,BR,16.2,21.3,17.3,1:17.3,1%,,11.65
Federal University of Lavras,Brazil,,,,,,,,,,,,1201–1500,22.8–28.2,27.0,16.8,26.6,29.3,26.5,"14,733",18.3,1%,52 : 48,,1201.0,25.5,U0385,BR,25.5,26.6,18.3,1:18.3,1%,,16.67
Federal University of Mato Grosso do Sul,Brazil,,,,,,,,,,,,1501+,9.7–22.7,21.4,11.7,22.3,33.0,28.9,"26,725",15.0,1%,55 : 45,,1501.0,16.2,U0386,BR,16.2,22.3,15.0,1:15.0,1%,,13.27
Federal University of Minas Gerais,Brazil,,,,,,,,,,,,801–1000,32.7–36.9,40.2,23.3,43.3,50.8,33.4,"42,080",13.5,1%,53 : 47,,801.0,34.8,U0387,BR,34.8,43.3,13.5,1:13.5,1%,,26.8
Federal University of Pará,Brazil,,,,,,,,,,,,1501+,9.7–22.7,22.6,11.7,21.3,21.7,26.8,"46,837",17.7,0%,52 : 48,,1501.0,16.2,U0388,BR,16.2,21.3,17.7,1:17.7,0%,,12.46
Federal University of Pernambuco,Brazil,,,,,,,,,,,,1201–1500,22.8–28.2,30.7,13.3,25.1,40.2,25.7,"34,549",12.8,0%,51 : 49,,1201.0,25.5,U0389,BR,25.5,25.1,12.8,1:12.8,0%,,14.18
Federal University of Rio de Janeiro,Brazil,,,,,,,,,,,,601–800,37.0–41.8,41.8,36.0,36.7,81.0,35.9,"52,534",13.5,1%,55 : 45,,601.0,39.4,U0390,BR,39.4,36.7,13.5,1:13.5,1%,,32.06
Federal University of Rio Grande do Norte (UFRN),Brazil,,,,,,,,,,,,1201–1500,22.8–28.2,25.3,11.3,30.6,24.8,31.3,"42,906",16.7,0%,40 : 60,,1201.0,25.5,U0391,BR,25.5,30.6,16.7,1:16.7,0%,,16.16
Federal University of São Carlos,Brazil,,,,,,,,,,,,1001–1200,28.3–32.6,33.4,19.8,33.5,44.8,29.5,"21,119",16.1,1%,51 : 49,,1001.0,30.450000000000003,U0392,BR,30.450000000000003,33.5,16.1,1:16.1,1%,,21.06
Federal University of Santa Maria,Brazil,,,,,,,,,,,,1201–1500,22.8–28.2,31.5,13.0,36.8,24.1,25.0,"28,741",14.6,1%,54 : 46,,1201.0,25.5,U0393,BR,25.5,36.8,14.6,1:14.6,1%,,17.4
Federal University of Technology Akure,Nigeria,,,,,,,,,,,,1001–1200,28.3–32.6,24.8,11.1,50.6,18.2,40.4,"19,711",24.5,0%,26 : 74,,1001.0,30.450000000000003,U0394,NI,30.450000000000003,50.6,24.5,1:24.5,0%,,24.31
Federal University of Toulouse Midi-Pyrénées,France,,,,,,,,,,,,401–500,45.4–49.0,29.4,30.2,65.7,70.2,72.6,"111,949",22.9,15%,56 : 44,,401.0,47.2,U0395,FR,47.2,65.7,22.9,1:22.9,15%,,46.69
Federal University of Uberlândia,Brazil,,,,,,,,,,,,1201–1500,22.8–28.2,23.3,12.7,36.1,29.8,24.4,"25,700",14.1,1%,52 : 48,,1201.0,25.5,U0396,BR,25.5,36.1,14.1,1:14.1,1%,,16.89
Federal University of Viçosa,Brazil,,,,,,,,,,,,1201–1500,22.8–28.2,32.2,14.5,23.0,26.6,24.5,"17,866",9.7,2%,55 : 45,,1201.0,25.5,U0397,BR,25.5,23.0,9.7,1:9.7,2%,,13.89
Federation University Australia,Australia,,,,,,,,,,,,601–800,37.0–41.8,20.9,17.2,71.3,41.7,85.8,"9,166",16.8,38%,70 : 30,,601.0,39.4,U0398,AU,39.4,71.3,16.8,1:16.8,38%,,44.76
Federico Santa María Technical University,Chile,,,,,,,,,,,,1201–1500,22.8–28.2,12.3,10.8,36.2,32.3,56.9,"22,812",29.7,3%,24 : 76,,1201.0,25.5,U0399,CH,25.5,36.2,29.7,1:29.7,3%,,23.78
Feng Chia University,Taiwan,1201-1400,,10.8,7.9,4.4,6.1,3.4,4.4,11.2,15.5,16.7,1201–1500,22.8–28.2,18.4,18.9,25.5,40.9,37.7,"19,770",23.3,7%,40 : 60,1201.0,1201.0,25.5,U0400,TA,25.5,6.1,23.3,1:23.3,7%,10.8,14.26
Ferdowsi University of Mashhad,Iran,951-1000,,7.0,6.0,3.5,28.2,1.3,7.1,71.7,5.2,1.7,801–1000,32.7–36.9,28.6,26.8,48.2,45.4,38.6,"25,009",30.5,11%,54 : 46,951.0,801.0,34.8,U0401,IR,34.8,28.2,30.5,1:30.5,11%,7.0,25.32
Ferhat Abbas Sétif University 1,Algeria,,,,,,,,,,,,1201–1500,22.8–28.2,17.2,8.5,50.6,17.7,39.6,"34,779",22.8,1%,60 : 40,,1201.0,25.5,U0402,AL,25.5,50.6,22.8,1:22.8,1%,,22.76
Financial University under the Government of the Russian Federation,Russian Federation,951-1000,,5.3,9.9,39.3,1.6,4.7,19.4,32.4,47.7,5.1,1001–1200,28.3–32.6,26.7,18.0,50.3,30.9,34.5,"16,580",13.0,9%,51 : 49,951.0,1001.0,30.450000000000003,U0403,RU,30.450000000000003,1.6,13.0,1:13.0,9%,5.3,11.65
Firat University,Turkey,,,,,,,,,,,,1001–1200,28.3–32.6,19.2,10.3,64.5,19.7,31.5,"35,348",25.4,6%,49 : 51,,1001.0,30.450000000000003,U0404,TU,30.450000000000003,64.5,25.4,1:25.4,6%,,25.95
Flinders University,Australia,336,33.3,13.5,5.6,7.2,51.8,97.2,88.8,80.8,7.4,87.4,301–350,51.1–53.0,29.2,35.4,78.4,71.0,88.9,"17,422",29.4,33%,66 : 34,336.0,301.0,52.05,U0405,AU,33.3,51.8,29.4,1:29.4,33%,13.5,49.14
Florida Agricultural and Mechanical University,United States,,,,,,,,,,,,1001–1200,28.3–32.6,33.4,16.7,39.8,37.3,50.3,"8,850",15.7,1%,67 : 33,,1001.0,30.450000000000003,U0406,UN,30.450000000000003,39.8,15.7,1:15.7,1%,,26.37
Florida Atlantic University,United States,,,,,,,,,,,,801–1000,32.7–36.9,22.5,21.9,57.3,57.6,51.8,"25,031",19.8,6%,63 : 37,,801.0,34.8,U0407,UN,34.8,57.3,19.8,1:19.8,6%,,34.76
Florida Atlantic University - Boca Raton,United States,1201-1400,,4.7,6.2,4.9,9.5,6.8,4.4,44.3,5.8,4.5,,,,,,,,,,,,1201.0,,,U0408,UN,,9.5,,,,4.7,16.27
Florida Institute of Technology,United States,,,,,,,,,,,,801–1000,32.7–36.9,29.0,16.4,45.2,54.8,80.4,"5,434",15.9,20%,42 : 58,,801.0,34.8,U0409,UN,34.8,45.2,15.9,1:15.9,20%,,35.13
Florida International University,United States,574,21.5,15.3,22.5,11.8,12.6,20.3,12.9,86.7,16.6,81.2,401–500,45.4–49.0,31.0,29.3,74.2,61.5,51.0,"35,006",22.4,9%,60 : 40,574.0,401.0,47.2,U0410,UN,21.5,12.6,22.4,1:22.4,9%,15.3,24.9
Florida State University,United States,573,21.6,25.6,18.1,7.2,24.8,10.0,4.2,71.9,18.4,26.8,251–300,53.1–55.8,38.2,38.6,79.4,68.2,58.8,"39,831",24.6,6%,58 : 42,573.0,251.0,54.45,U0411,UN,21.6,24.8,24.6,1:24.6,6%,25.6,35.36
Fluminense Federal University,Brazil,,,,,,,,,,,,1501+,9.7–22.7,21.0,13.1,27.8,22.5,30.8,"70,629",20.8,1%,47 : 53,,1501.0,16.2,U0412,BR,16.2,27.8,20.8,1:20.8,1%,,16.13
Fordham University ,United States,1001-1200,,6.8,8.3,14.8,5.4,6.3,13.9,23.9,29.1,1.4,,,,,,,,,,,,1001.0,,,U0413,UN,,5.4,,,,6.8,15.02
Free University of Berlin,Germany,,,,,,,,,,,,102,66.5,52.1,59.7,82.5,71.6,82.4,"25,427",41.5,20%,63 : 37,,102.0,66.5,U0414,GE,66.5,82.5,41.5,1:41.5,20%,,69.61
Free University of Bozen-Bolzano,Italy,661-670,,5.8,1.5,12.8,42.6,72.3,37.4,49.3,3.4,2.0,351–400,49.1–51.0,31.8,22.8,85.5,45.6,78.6,"4,244",10.7,14%,67 : 33,661.0,351.0,50.05,U0415,IT,50.05,42.6,10.7,1:10.7,14%,5.8,37.26
Freie Universitaet Berlin,Germany,97,60.6,80.3,56.9,5.0,71.7,62.4,43.7,93.1,32.8,31.3,,,,,,,,,,,,97.0,,,U0416,GE,60.6,71.7,,,,80.3,35.12
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,224,43.6,25.8,27.7,3.2,94.9,27.2,48.8,87.1,19.6,74.5,,,,,,,,,,,,224.0,,,U0417,GE,43.6,94.9,,,,25.8,42.15
Friedrich Schiller University Jena,Germany,,,,,,,,,,,,201–250,55.9–58.6,43.2,42.0,81.8,79.8,69.3,"16,048",18.9,14%,,,201.0,57.25,U0418,GE,57.25,81.8,18.9,1:18.9,14%,,56.95
Fu Jen Catholic University,Taiwan,1201-1400,,7.6,6.9,3.6,7.0,7.6,4.2,16.1,27.1,4.0,1001–1200,28.3–32.6,24.0,29.2,26.3,65.5,31.1,"16,382",27.2,6%,59 : 41,1201.0,1001.0,30.450000000000003,U0419,TA,30.450000000000003,7.0,27.2,1:27.2,6%,7.6,18.34
Fudan University,China,39,80.3,85.7,87.8,79.7,80.7,88.4,35.1,67.2,64.4,82.7,44,77.5,76.5,75.3,83.5,96.0,56.1,"38,101",12.6,9%,52 : 48,39.0,44.0,77.5,U0420,CH,80.3,80.7,12.6,1:12.6,9%,85.7,70.88
Fujian Agriculture and Forestry University,China,,,,,,,,,,,,1001–1200,28.3–32.6,18.3,15.5,62.0,34.8,32.7,"30,262",17.1,1%,53 : 47,,1001.0,30.450000000000003,U0421,CH,30.450000000000003,62.0,17.1,1:17.1,1%,,28.21
Fujita Health University,Japan,,,,,,,,,,,,1001–1200,28.3–32.6,27.6,13.0,55.4,53.3,22.3,"3,071",3.6,1%,58 : 42,,1001.0,30.450000000000003,U0422,JA,30.450000000000003,55.4,3.6,1:3.6,1%,,22.39
Fukuoka University,Japan,,,,,,,,,,,,1501+,9.7–22.7,23.5,9.7,17.9,37.1,24.4,"19,536",8.7,1%,40 : 60,,1501.0,16.2,U0423,JA,16.2,17.9,8.7,1:8.7,1%,,9.8
Fundación CEU San Pablo,Spain,1201-1400,,4.4,9.4,15.7,2.3,3.8,47.5,15.3,10.5,1.0,,,,,,,,,,,,1201.0,,,U0424,SP,,2.3,,,,4.4,14.09
Fundación Universidad De Bogotá-Jorge Tadeo Lozano,Colombia,1401+,,5.2,3.3,10.2,1.7,3.2,1.2,5.9,12.1,1.0,,,,,,,,,,,,1401.0,,,U0425,CO,,1.7,,,,5.2,13.9
Future University in Egypt,Egypt,901-950,,4.8,34.7,34.9,2.0,11.7,21.7,40.0,2.9,1.1,,,,,,,,,,,,901.0,,,U0426,EG,,2.0,,,,4.8,13.99
Fuzhou University,China,,,,,,,,,,,,801–1000,32.7–36.9,18.9,16.5,71.5,53.2,36.7,"42,106",17.4,1%,39 : 61,,801.0,34.8,U0427,CH,34.8,71.5,17.4,1:17.4,1%,,32.58
Gabriele d‘Annunzio University,Italy,,,,,,,,,,,,601–800,37.0–41.8,16.3,18.3,71.7,59.9,40.6,"23,336",31.7,2%,65 : 35,,601.0,39.4,U0428,IT,39.4,71.7,31.7,1:31.7,2%,,34.53
Gadjah Mada University,Indonesia,239,41.8,54.4,73.5,57.6,1.7,40.3,4.1,38.1,69.0,26.8,,,,,,,,,,,,239.0,,,U0429,IN,41.8,1.7,,,,54.4,13.9
Gauhati University,India,,,,,,,,,,,,1001–1200,28.3–32.6,36.2,26.6,23.3,34.3,22.2,"6,817",17.3,0%,53 : 47,,1001.0,30.450000000000003,U0430,IN,30.450000000000003,23.3,17.3,1:17.3,0%,,19.76
Gazi Üniversitesi,Turkey,901-950,,18.6,15.3,6.0,4.4,1.0,3.3,56.0,18.2,20.1,,,,,,,,,,,,901.0,,,U0431,TU,,4.4,,,,18.6,14.72
Gazi University,Turkey,,,,,,,,,,,,1201–1500,22.8–28.2,25.6,19.0,32.7,60.3,21.7,"41,736",17.0,3%,51 : 49,,1201.0,25.5,U0432,TU,25.5,32.7,17.0,1:17.0,3%,,18.51
Gaziantep University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,15.6,10.8,33.0,20.1,39.5,"31,977",38.1,12%,47 : 53,,1501.0,16.2,U0433,TU,16.2,33.0,38.1,1:38.1,12%,,18.61
Gda?sk University of Technology,Poland,801-850,,9.4,15.2,29.6,12.7,5.3,4.0,65.8,3.2,33.3,1001–1200,28.3–32.6,19.7,17.0,48.3,50.7,35.0,"13,903",17.9,5%,38 : 62,801.0,1001.0,30.450000000000003,U0434,PO,30.450000000000003,12.7,17.9,1:17.9,5%,9.4,14.62
Gebze Technical University (GTU),Turkey,1001-1200,,4.5,3.4,7.8,18.5,6.2,3.8,37.3,2.3,3.8,1201–1500,22.8–28.2,22.6,13.8,37.6,35.0,29.2,"7,234",24.5,2%,43 : 57,1001.0,1201.0,25.5,U0435,TU,25.5,18.5,24.5,1:24.5,2%,4.5,13.29
"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures",Romania,,,,,,,,,,,,1201–1500,22.8–28.2,17.8,11.3,36.4,16.8,36.1,"9,258",17.0,13%,64 : 36,,1201.0,25.5,U0436,RO,25.5,36.4,17.0,1:17.0,13%,,19.08
George Mason University,United States,1001-1200,,8.8,4.8,12.4,9.2,10.0,15.3,60.9,11.9,22.5,401–500,45.4–49.0,29.7,27.5,82.7,62.0,59.9,"32,959",18.3,11%,53 : 47,1001.0,401.0,47.2,U0437,UN,47.2,9.2,18.3,1:18.3,11%,8.8,25.08
George Washington University,United States,371,31.3,25.2,28.8,27.3,27.5,24.6,34.4,79.5,74.5,27.3,201–250,55.9–58.6,48.2,35.7,86.0,67.3,66.1,"22,211",13.0,14%,62 : 38,371.0,201.0,57.25,U0438,UN,31.3,27.5,13.0,1:13.0,14%,25.2,36.42
Georgetown University,United States,301,36.3,29.3,41.9,63.0,14.0,28.0,37.3,62.5,90.9,37.0,=187,59.5,52.6,37.0,85.1,92.2,53.2,"17,508",10.1,18%,55 : 45,301.0,187.0,59.5,U0439,UN,36.3,14.0,10.1,1:10.1,18%,29.3,29.89
Georgia Institute of Technology,United States,114,57.3,67.1,82.6,20.3,52.8,21.3,66.4,75.5,43.1,39.5,36,80.0,63.4,78.9,94.1,94.6,84.8,"32,079",28.0,29%,34 : 66,114.0,36.0,80.0,U0440,UN,57.3,52.8,28.0,1:28.0,29%,67.1,71.25
Georgia Southern University,United States,,,,,,,,,,,,1201–1500,22.8–28.2,18.4,11.6,43.2,41.6,34.8,"22,852",18.0,3%,59 : 41,,1201.0,25.5,U0441,UN,25.5,43.2,18.0,1:18.0,3%,,20.98
Georgia State University,United States,851-900,,11.3,14.2,4.3,22.4,4.8,10.4,62.3,18.2,7.2,401–500,45.4–49.0,35.0,25.4,72.6,65.2,57.1,"30,821",15.7,7%,61 : 39,851.0,401.0,47.2,U0442,UN,47.2,22.4,15.7,1:15.7,7%,11.3,27.3
Georgian Technical University,Georgia,901-950,,7.1,6.6,1.0,46.9,,,5.4,25.9,1.0,1501+,9.7–22.7,32.4,9.3,22.2,16.1,40.8,"19,873",15.0,2%,1 : 99,901.0,1501.0,16.2,U0443,GE,16.2,46.9,15.0,1:15.0,2%,7.1,22.35
German Jordanian University,Jordan,901-950,,8.6,15.1,21.4,5.6,65.3,16.3,17.8,8.5,1.5,1201–1500,22.8–28.2,17.8,11.4,40.6,19.5,69.1,"4,255",12.8,11%,38 : 62,901.0,1201.0,25.5,U0444,JO,25.5,5.6,12.8,1:12.8,11%,8.6,17.78
German University in Cairo,Egypt,1201-1400,,8.3,15.2,7.0,2.2,13.4,1.1,12.8,4.4,1.0,1501+,9.7–22.7,18.6,8.7,34.0,16.8,48.6,"12,332",12.8,2%,43 : 57,1201.0,1501.0,16.2,U0445,EG,16.2,2.2,12.8,1:12.8,2%,8.3,10.37
Ghent University,Belgium,169,50.1,53.2,24.8,78.5,21.5,79.7,21.4,99.5,72.9,98.3,115,65.6,47.2,59.3,85.3,99.7,65.7,"41,487",37.6,12%,57 : 43,169.0,115.0,65.6,U0446,BE,50.1,21.5,37.6,1:37.6,12%,53.2,46.88
Gheorghe Asachi Technical University of Iaşi,Romania,,,,,,,,,,,,1501+,9.7–22.7,15.9,9.6,23.2,26.2,32.1,"13,357",20.8,9%,29 : 71,,1501.0,16.2,U0447,RO,16.2,23.2,20.8,1:20.8,9%,,13.22
"The ""Gheorghe Asachi"" Technical University of Iasi",Romania,1201-1400,,5.3,9.7,2.4,6.0,,4.6,34.1,4.0,1.0,,,,,,,,,,,,1201.0,,,U0448,RO,,6.0,,,,5.3,15.21
Gifu University,Japan,1001-1200,,6.6,2.3,57.9,7.6,4.3,3.3,20.6,1.8,3.1,1001–1200,28.3–32.6,30.6,23.2,29.5,65.9,29.5,"7,134",14.6,4%,38 : 62,1001.0,1001.0,30.450000000000003,U0449,JA,30.450000000000003,7.6,14.6,1:14.6,4%,6.6,14.99
GITAM University,India,,,,,,,,,,,,1501+,9.7–22.7,19.6,9.3,20.8,19.0,25.2,"23,730",13.9,1%,37 : 63,,1501.0,16.2,U0450,IN,16.2,20.8,13.9,1:13.9,1%,,10.66
GLA University,India,,,,,,,,,,,,1001–1200,28.3–32.6,16.8,10.6,63.9,16.0,20.9,"10,719",16.8,0%,29 : 71,,1001.0,30.450000000000003,U0451,IN,30.450000000000003,63.9,16.8,1:16.8,0%,,23.37
Glasgow Caledonian University,United Kingdom,1001-1200,,5.2,5.4,4.3,6.3,30.1,34.9,37.2,6.8,23.5,601–800,37.0–41.8,20.7,13.9,66.7,46.1,75.6,"14,840",24.1,18%,58 : 42,1001.0,601.0,39.4,U0452,UN,39.4,6.3,24.1,1:24.1,18%,5.2,20.87
Goa University,India,,,,,,,,,,,,1501+,9.7–22.7,32.1,12.4,23.0,18.6,24.1,"2,820",11.8,3%,65 : 35,,1501.0,16.2,U0453,IN,16.2,23.0,11.8,1:11.8,3%,,12.69
Goethe University Frankfurt,Germany,,,,,,,,,,,,201–250,55.9–58.6,40.2,38.2,82.4,74.6,70.8,"28,572",14.5,14%,59 : 41,,201.0,57.25,U0454,GE,57.25,82.4,14.5,1:14.5,14%,,55.51
Goethe-University Frankfurt am Main,Germany,309,35.2,43.2,33.2,24.4,15.9,37.4,24.1,90.4,20.2,75.0,,,,,,,,,,,,309.0,,,U0455,GE,35.2,15.9,,,,43.2,18.21
"Goldsmiths, University of London",United Kingdom,681-690,,13.1,5.1,12.8,12.0,92.0,91.5,25.1,14.4,3.1,401–500,45.4–49.0,29.2,25.2,75.4,28.9,81.0,"8,780",14.5,38%,66 : 34,681.0,401.0,47.2,U0456,UN,47.2,12.0,14.5,1:14.5,38%,13.1,29.83
Gorgan University of Agricultural Sciences and Natural Resources,Iran,,,,,,,,,,,,801–1000,32.7–36.9,15.8,11.3,78.0,34.2,35.7,"3,980",21.5,1%,50 : 50,,801.0,34.8,U0457,IR,34.8,78.0,21.5,1:21.5,1%,,31.58
Government College University Faisalabad,Pakistan,,,,,,,,,,,,601–800,37.0–41.8,20.8,15.0,83.4,32.7,48.2,"21,518",26.5,0%,53 : 47,,601.0,39.4,U0458,PA,39.4,83.4,26.5,1:26.5,0%,,38.18
Government College University Lahore,Pakistan,,,,,,,,,,,,1201–1500,22.8–28.2,21.0,11.5,37.2,20.3,51.2,"11,709",17.6,0%,44 : 56,,1201.0,25.5,U0459,PA,25.5,37.2,17.6,1:17.6,0%,,23.07
Graz University of Technology,Austria,413,28.8,14.7,15.7,98.9,11.1,81.8,59.7,59.9,11.9,2.8,501–600,41.9–45.3,40.4,21.4,51.5,91.5,81.5,"6,660",8.2,24%,26 : 74,413.0,501.0,43.599999999999994,U0460,AU,28.8,11.1,8.2,1:8.2,24%,14.7,27.68
Griffith University,Australia,255,40.1,27.0,13.7,8.4,62.5,99.8,38.5,92.1,17.9,96.4,251–300,53.1–55.8,30.5,37.8,82.7,74.6,81.8,"34,770",31.6,15%,60 : 40,255.0,251.0,54.45,U0461,AU,40.1,62.5,31.6,1:31.6,15%,27.0,51.93
Grigore T. Popa University of Medicine and Pharmacy,Romania,,,,,,,,,,,,1501+,9.7–22.7,22.5,10.1,18.9,22.5,42.1,"9,765",10.8,26%,68 : 32,,1501.0,16.2,U0462,RO,16.2,18.9,10.8,1:10.8,26%,,14.59
Guangdong University of Technology,China,,,,,,,,,,,,601–800,37.0–41.8,17.2,19.3,79.6,63.5,28.4,"48,569",19.0,0%,27 : 73,,601.0,39.4,U0463,CH,39.4,79.6,19.0,1:19.0,0%,,34.5
Guangzhou Medical University,China,,,,,,,,,,,,801–1000,32.7–36.9,24.2,10.2,72.5,26.6,28.5,"14,728",1.7,2%,58 : 42,,801.0,34.8,U0464,CH,34.8,72.5,1.7,1:1.7,2%,,27.6
Guangzhou University,China,,,,,,,,,,,,801–1000,32.7–36.9,19.4,12.7,77.1,22.4,35.9,"37,527",17.5,0%,60 : 40,,801.0,34.8,U0465,CH,34.8,77.1,17.5,1:17.5,0%,,32.09
Gubkin Russian State University of Oil and Gas,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,23.4,10.5,12.5,38.2,26.8,"9,371",12.2,7%,33 : 67,,1501.0,16.2,U0466,RU,16.2,12.5,12.2,1:12.2,7%,,9.16
Guilan University of Medical Sciences,Iran,,,,,,,,,,,,801–1000,32.7–36.9,38.2,10.4,63.7,16.6,21.9,"5,472",11.5,1%,53 : 47,,801.0,34.8,U0467,IR,34.8,63.7,11.5,1:11.5,1%,,23.44
