University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio
King Abdulaziz University (KAU),SA,149,52.2,59.8,61.4,41.6,34.4,89.3,9.5,93.1,35.9,58.4,251–300,53.1–55.8,37.8,28.6,90.7,46.1,75.4,"60,540",13.9,3%,50 : 50
King Fahd University of Petroleum & Minerals,SA,101,59.5,38.0,46.5,86.0,78.0,100.0,47.6,73.9,97.8,20.1,201–250,55.9–58.6,37.6,38.7,86.3,90.9,84.8,"6,801",8.5,15%,8 : 92
King Faisal University,SA,761-770,-,16.4,12.7,14.5,2.7,98.0,3.9,59.3,8.7,1.5,801–1000,32.7–36.9,19.9,12.2,68.0,31.4,75.5,"29,628",14.5,2%,60 : 40
King Khalid University,SA,601-610,-,16.6,8.3,49.8,2.7,100.0,18.0,78.3,2.2,2.3,501–600,41.9–45.3,29.8,20.1,70.3,48.6,91.0,"32,078",8.3,16%,61 : 39
King Mongkut\'s Institute of Technology Ladkrabang,TH,1201-1400,-,8.3,3.7,4.2,3.1,16.7,2.2,18.5,6.2,1.1,1501+,9.7–22.7,16.5,22.9,19.2,55.0,30.7,"25,482",23.0,1%,52 : 48
King Mongkut's University of Technology North Bangkok,TH,1201-1400,-,8.5,4.9,4.1,3.3,2.8,1.1,23.5,2.5,1.1,1201–1500,22.8–28.2,16.2,12.7,50.9,25.9,28.7,"28,122",23.3,0%,42 : 58
King Mongkut's University of Technology Thonburi ,TH,951-1000,-,13.2,6.3,13.3,8.5,9.5,3.2,36.9,2.6,41.0,801–1000,32.7–36.9,21.5,22.1,59.5,71.0,43.3,"15,075",20.4,4%,45 : 55
King's College London,UK,40,80.2,90.3,85.7,64.3,53.6,99.1,99.5,98.6,59.8,96.2,=38,79.0,59.8,75.1,97.7,74.2,97.5,"32,835",13.9,53%,63 : 37
King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,,,,,,,,,,,,601–800,37.0–41.8,40.8,21.7,43.6,36.1,64.4,"8,594",13.0,1%,51 : 49
King Saud University,SA,200,46.2,39.4,28.7,54.3,40.0,99.4,15.0,95.1,99.0,33.0,401–500,45.4–49.0,31.4,19.9,84.5,48.7,77.2,"50,906",11.9,6%,43 : 57
Kingston University,United Kingdom,,,,,,,,,,,,801–1000,32.7–36.9,20.0,15.3,53.2,52.2,91.3,"14,660",18.9,40%,59 : 41
"Kingston University, London",UK,601-610,-,17.9,15.3,5.8,7.6,70.8,99.2,48.2,12.6,6.9,,,,,,,,,,,
Kirikkale University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,14.3,18.8,17.2,20.3,18.8,"27,869",47.7,1%,49 : 51
"KIT, Karlsruhe Institute of Technology",DE,102,59.4,44.9,80.9,39.4,68.4,70.5,42.9,86.4,50.8,75.3,,,,,,,,,,,
Kitasato University,Japan,,,,,,,,,,,,1201–1500,22.8–28.2,27.0,11.5,28.8,56.5,20.0,"8,628",5.2,0%,55 : 45
KL University,India,,,,,,,,,,,,1201–1500,22.8–28.2,22.4,11.1,52.0,16.6,21.5,"17,602",14.6,2%,36 : 64
Koç University,TR,401,29.6,24.3,54.6,19.1,32.4,24.7,13.0,51.6,6.8,34.8,351–400,49.1–51.0,31.8,40.5,68.9,91.9,57.4,"6,427",19.5,9%,49 : 51
Kobe University,JP,465,25.8,28.4,33.2,43.9,11.4,7.0,5.6,55.0,15.0,49.8,601–800,37.0–41.8,39.5,27.2,48.1,75.4,39.0,"15,333",10.2,7%,35 : 65
Kocaeli University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,14.3,9.7,22.1,23.7,25.8,"66,547",47.2,2%,41 : 59
Kochi University,Japan,,,,,,,,,,,,1501+,9.7–22.7,24.7,12.3,21.8,41.5,26.8,"5,459",8.3,1%,44 : 56
Kochi University of Technology,Japan,,,,,,,,,,,,1501+,9.7–22.7,17.6,15.6,15.9,68.4,39.1,"2,579",20.3,2%,25 : 75
Kogakuin University,Japan,,,,,,,,,,,,1501+,9.7–22.7,16.8,11.3,26.3,32.7,25.0,"6,553",18.3,2%,18 : 82
Kohat University of Science and Technology,Pakistan,,,,,,,,,,,,1001–1200,28.3–32.6,21.9,14.2,49.0,20.8,59.5,"7,055",43.0,0%,26 : 74
Konkuk University ,KR,721-730,-,7.0,8.1,61.8,17.1,9.5,17.7,46.8,9.0,28.4,601–800,37.0–41.8,32.2,37.6,49.1,73.7,45.0,"12,805",25.2,15%,48 : 52
Kookmin University ,KR,1201-1400,-,3.6,4.0,35.3,2.9,4.9,31.1,7.9,2.9,2.9,1501+,9.7–22.7,24.5,14.3,20.1,37.0,36.1,"17,514",11.6,11%,50 : 50
Kore University of Enna,Italy,,,,,,,,,,,,801–1000,32.7–36.9,18.0,12.3,71.3,40.9,37.3,"5,052",16.0,1%,68 : 32
Korea Advanced Institute of Science and Technology (KAIST),South Korea,,,,,,,,,,,,83,69.2,67.1,65.8,77.4,100.0,41.6,"10,130",10.7,8%,21 : 79
Korea University,KR,67,69,78.2,93.8,73.0,45.0,15.2,45.7,65.7,89.0,85.2,201–250,55.9–58.6,48.6,46.6,72.0,99.7,62.5,"22,324",16.3,31%,
Korkyt Ata Kyzylorda University,KZ,1401+,-,7.0,7.9,5.7,1.0,3.4,1.2,1.0,3.3,1.1,,,,,,,,,,,
KTH Royal Institute of Technology ,SE,74,65.7,45.2,55.6,62.3,86.1,92.0,65.9,91.1,62.4,94.8,=97,66.9,53.5,57.8,81.0,97.7,82.5,"13,269",15.9,26%,34 : 66
KU Leuven,BE,63,70.3,84.6,49.6,7.1,91.0,93.8,47.7,99.5,75.3,51.2,45,77.0,60.1,74.9,91.9,100.0,79.6,"49,435",37.3,19%,52 : 48
Kumamoto University,JP,951-1000,-,7.1,2.8,55.2,12.6,7.2,3.5,35.1,2.9,8.0,801–1000,32.7–36.9,33.6,19.6,40.9,77.5,36.5,"9,384",9.8,6%,39 : 61
Kurdistan University of Medical Sciences,Iran,,,,,,,,,,,,601–800,37.0–41.8,40.8,11.2,67.6,18.8,27.9,"3,229",10.7,2%,48 : 52
Kurume University,Japan,,,,,,,,,,,,1001–1200,28.3–32.6,27.5,13.6,48.4,44.7,26.3,"5,007",9.0,1%,
Kuwait University,KW,801-850,-,14.7,7.9,6.8,2.9,20.4,19.4,39.3,93.8,17.1,1001–1200,28.3–32.6,19.5,9.9,55.5,28.9,66.4,"34,147",14.7,13%,73 : 27
Kwame Nkrumah University of Science and Technology,GH,1201-1400,-,6.9,6.0,4.8,2.0,,,55.3,34.5,2.3,1001–1200,28.3–32.6,16.2,20.7,50.8,52.0,47.2,"71,529",60.8,1%,38 : 62
Kwansei Gakuin University,JP,1401+,-,4.1,5.1,5.0,2.4,21.9,3.4,13.0,7.7,1.0,1501+,9.7–22.7,15.7,9.5,15.4,20.7,40.9,"25,232",24.7,4%,49 : 51
Kyoto Institute of Technology,JP,1201-1400,-,6.1,3.9,14.4,11.7,11.1,9.0,9.3,1.9,1.1,1201–1500,22.8–28.2,27.2,17.1,15.2,73.3,33.7,"3,943",13.8,6%,29 : 71
Kyoto Prefectural University of Medicine,Japan,,,,,,,,,,,,801–1000,32.7–36.9,33.6,16.0,47.8,68.2,20.1,"1,376",3.2,1%,47 : 53
Kyoto Sangyo University,Japan,,,,,,,,,,,,1501+,9.7–22.7,14.3,9.1,14.9,22.4,44.8,"12,551",21.9,2%,34 : 66
Kyoto University,JP,50,76,98.8,99.0,94.2,39.3,15.9,19.0,85.7,72.8,85.2,=55,75.0,85.4,84.3,60.0,100.0,45.7,"21,817",9.0,11%,25 : 75
Kyrgyz Russian Slavic University,KG,851-900,-,9.3,7.0,99.8,1.0,,,3.1,24.1,,,,,,,,,,,,
Kyrgyz State Technical University,KG,1201-1400,-,14.6,7.0,12.0,1.0,2.6,5.8,1.2,22.6,,,,,,,,,,,,
Kyrgyz-Turkish Manas University,KG,901-950,-,15.1,10.9,10.7,1.7,90.5,19.7,7.1,5.7,1.0,,,,,,,,,,,
Kyung Hee University,KR,328,33.8,23.2,37.1,82.1,15.1,14.3,53.4,54.5,13.8,80.5,251–300,53.1–55.8,40.3,40.0,71.0,95.9,71.5,"20,427",17.6,30%,56 : 44
Kyungpook National University,KR,516,23.6,11.1,16.7,66.9,20.5,11.1,25.7,52.0,10.6,60.6,501–600,41.9–45.3,33.2,38.1,51.5,96.2,50.2,"18,432",20.1,14%,45 : 55
Kyushu Institute of Technology ,JP,1001-1200,-,4.6,5.4,9.6,25.6,7.1,3.5,20.6,1.9,1.1,1201–1500,22.8–28.2,26.3,15.6,31.4,60.3,40.8,"5,628",16.0,5%,14 : 86
Kyushu University,JP,167,50.3,58.3,66.5,78.4,27.9,18.7,14.1,69.9,15.1,77.6,301–350,51.1–53.0,55.0,47.5,51.2,98.4,48.8,"18,220",7.7,13%,28 : 72
L.N. Gumilyov Eurasian National University (ENU),KZ,321,34.2,34.4,62.0,92.6,1.4,68.7,8.2,22.8,5.5,10.5,1501+,9.7–22.7,21.9,11.6,21.1,15.7,54.2,"19,632",13.5,4%,60 : 40
La Trobe University,AU,217,44.1,23.6,19.8,8.0,77.7,92.6,95.0,78.6,19.6,78.4,251–300,53.1–55.8,28.9,35.4,88.1,73.8,88.2,"19,172",28.2,29%,63 : 37
Ladoke Akintola University of Technology,Nigeria,,,,,,,,,,,,1501+,9.7–22.7,16.2,11.1,28.0,32.0,32.5,"28,289",53.1,0%,49 : 51
Lagos State University,Nigeria,,,,,,,,,,,,1501+,9.7–22.7,12.9,9.3,25.3,16.0,41.9,"28,722",35.6,0%,45 : 55
Lahore College for Women University (LCWU),Pakistan,,,,,,,,,,,,1501+,9.7–22.7,16.5,9.6,37.6,16.1,40.6,"11,857",21.3,0%,100 : 0
Lahore University of Management Sciences (LUMS),PK,535,22.9,17.2,73.2,27.1,7.4,12.2,1.8,19.5,37.0,1.1,801–1000,32.7–36.9,23.3,16.7,60.2,43.1,53.0,"4,735",14.2,2%,43 : 57
Lakehead University,Canada,,,,,,,,,,,,801–1000,32.7–36.9,17.6,24.0,51.4,48.7,59.2,"8,434",25.0,19%,56 : 44
Lancaster University,UK,141,53.6,38.9,36.7,27.7,69.6,93.3,92.3,89.7,28.8,96.2,=155,61.8,40.2,40.7,93.9,66.6,96.8,"15,385",13.9,38%,51 : 49
Lanzhou University,CN,721-730,-,8.1,2.5,25.2,45.2,2.3,1.5,64.0,4.4,7.6,,,,,,,,,,,
Lappeenranta-Lahti University of Technology LUT,FI,336,33.3,6.4,9.4,9.5,97.6,56.8,28.5,55.6,7.9,55.8,251–300,53.1–55.8,33.4,36.7,91.7,65.1,64.2,"5,028",31.6,14%,34 : 66
Latvia University of Life Sciences and Technologies,Latvia,,,,,,,,,,,,1501+,9.7–22.7,16.3,17.3,15.8,30.5,24.1,"3,991",21.3,4%,50 : 50
Lebanese American University,LB,701-710,-,13.5,20.3,29.1,3.7,73.3,19.6,36.5,19.9,19.5,501–600,41.9–45.3,26.7,13.2,76.4,32.8,84.2,"7,100",10.1,17%,52 : 48
Lebanese University,LB,567,21.9,29.0,34.4,10.1,2.2,43.8,29.5,43.7,29.9,5.8,801–1000,32.7–36.9,42.8,22.3,23.6,17.7,78.8,"46,704",14.6,16%,70 : 30
Leeds Beckett University,UK,1001-1200,-,4.5,5.9,3.8,7.5,39.1,27.4,24.8,8.5,1.5,801–1000,32.7–36.9,17.7,16.2,65.0,49.9,67.3,"20,360",21.9,15%,54 : 46
Lehigh University,US,641-650,-,5.2,4.8,24.3,32.5,47.1,27.8,44.5,29.0,33.3,601–800,37.0–41.8,33.0,22.5,57.6,63.6,73.8,"6,518",11.2,17%,46 : 54
Leibniz University Hannover,DE,426,27.9,21.2,32.0,17.9,17.4,46.3,26.9,78.5,14.5,82.1,351–400,49.1–51.0,38.3,41.5,62.1,81.6,58.2,"19,807",39.5,15%,44 : 56
Leiden University,NL,141,53.6,68.4,32.9,21.3,54.5,85.0,51.7,95.2,48.8,25.5,77,70.2,46.0,62.7,93.0,98.1,87.8,"35,072",19.3,21%,60 : 40
Leuphana University of Lüneburg,Germany,,,,,,,,,,,,501–600,41.9–45.3,25.5,22.9,85.3,25.8,59.8,"7,773",22.5,7%,62 : 38
Lincoln University ,NZ,371,31.3,8.2,5.0,31.8,52.1,100.0,96.3,20.2,40.0,48.9,401–500,45.4–49.0,33.9,26.7,68.4,49.7,92.0,"2,562",14.5,33%,52 : 48
"Lingnan University, Hong Kong",HK,711-720,-,9.9,6.5,13.9,11.0,100.0,98.9,15.6,3.7,3.8,,,,,,,,,,,
Linköping University,SE,304,35.8,18.5,26.6,37.9,45.4,81.9,32.6,84.6,42.4,41.0,251–300,53.1–55.8,28.3,41.3,86.4,92.8,70.7,"15,233",14.9,15%,54 : 46
Lithuanian University of Health Sciences,Lithuania,,,,,,,,,,,,801–1000,32.7–36.9,27.1,12.6,55.5,25.5,52.9,"6,376",9.2,23%,74 : 26
Liverpool John Moores University,UK,801-850,-,10.0,6.8,8.0,12.3,46.7,22.4,87.7,5.4,13.6,501–600,41.9–45.3,21.6,19.3,77.7,35.4,83.0,"23,200",18.1,16%,54 : 46
LMU Munich,Germany,,,,,,,,,,,,=38,79.0,65.3,76.8,92.2,100.0,76.9,"34,622",33.5,18%,62 : 38
Lobachevsky State University of Nizhni Novgorod,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,31.8,13.4,14.7,32.7,38.5,"19,457",10.6,12%,51 : 49
Lobachevsky University,RU,1001-1200,-,7.9,3.9,41.1,2.0,2.0,22.3,18.1,3.2,1.3,,,,,,,,,,,
Lodz University of Technology,PL,1001-1200,-,5.0,3.4,46.2,8.9,3.3,4.0,50.7,3.2,4.0,1201–1500,22.8–28.2,21.2,15.7,34.4,66.9,29.8,"11,706",13.1,5%,39 : 61
Lomonosov Moscow State University,RU,94,61.4,78.0,82.3,99.7,4.1,19.7,91.5,88.1,95.8,3.5,=95,67.0,87.5,75.2,33.9,91.1,73.8,"32,680",9.6,37%,50 : 50
London Metropolitan University,UK,1001-1200,-,5.0,3.0,3.8,3.3,59.5,100.0,16.1,13.5,1.0,,,,,,,,,,,
The London School of Economics and Political Science (LSE),UK,50,76,67.2,97.0,35.1,69.4,100.0,100.0,81.2,99.6,91.3,46,76.8,59.5,73.5,95.4,55.9,94.1,"11,945",12.6,72%,56 : 44
London South Bank University,UK,801-850,-,3.3,2.9,9.1,4.4,87.1,96.8,47.6,8.5,15.4,601–800,37.0–41.8,18.6,12.4,65.9,52.4,92.3,"14,510",17.5,37%,56 : 44
Londrina State University,Brazil,,,,,,,,,,,,1501+,9.7–22.7,30.3,16.1,19.6,34.8,23.9,"21,220",10.9,1%,59 : 41
Lorestan University,Iran,,,,,,,,,,,,1001–1200,28.3–32.6,27.2,11.1,51.2,18.3,25.7,"8,762",22.7,2%,57 : 43
Loughborough University,UK,224,43.6,29.7,55.3,23.8,32.4,87.1,68.6,87.1,23.2,93.8,251–300,53.1–55.8,36.5,34.4,77.4,70.2,91.5,"16,110",13.9,25%,40 : 60
Louisiana State University,US,901-950,-,9.5,6.7,7.8,12.9,8.6,3.8,52.3,18.8,52.8,601–800,37.0–41.8,32.7,21.4,61.1,63.1,47.8,"31,112",19.4,4%,55 : 45
Lovely Professional University,India,,,,,,,,,,,,801–1000,32.7–36.9,21.5,12.8,73.7,17.5,43.4,"34,961",14.7,7%,25 : 75
Loyola University Chicago,US,1001-1200,-,8.5,17.3,23.2,7.0,6.5,3.0,39.5,13.2,1.9,,,,,,,,,,,
Lucian Blaga University of Sibiu,RO,1401+,-,3.6,3.2,8.5,1.9,13.9,2.9,17.0,4.1,1.2,1501+,9.7–22.7,18.5,14.0,29.7,16.8,28.4,"13,369",16.5,3%,59 : 41
Ludwig-Maximilians-Universität München,DE,59,71.6,92.2,86.6,38.5,50.0,75.1,37.6,95.5,66.9,62.2,,,,,,,,,,,
"Lumière University, Lyon 2",France,,,,,,,,,,,,1201–1500,22.8–28.2,24.6,18.6,24.9,32.8,67.5,"26,014",50.4,18%,68 : 32
Lund University,SE,75,65.6,68.3,52.5,55.5,44.6,97.4,73.4,96.7,86.5,99.6,=106,66.1,46.7,56.6,86.6,99.8,79.8,"30,349",12.0,18%,56 : 44
Lviv Polytechnic National University,UA,1001-1200,-,8.4,13.5,28.4,1.9,1.4,1.2,18.9,15.2,11.5,601–800,37.0–41.8,22.9,11.3,34.2,18.8,27.1,"22,580",11.9,1%,41 : 59
M’Hamed Bougara University of Boumerdès,Algeria,,,,,,,,,,,,1501+,9.7–22.7,15.2,8.1,21.3,16.3,32.7,"32,215",22.6,1%,59 : 41
M.Kh. Dulaty Taraz Regional University,KZ,1401+,-,7.6,2.7,12.0,1.0,1.1,6.7,2.6,3.1,1.1,,,,,,,,,,,
Maastricht University ,NL,230,43,23.0,27.8,13.2,62.8,99.4,100.0,80.5,38.2,52.5,=138,62.9,41.4,47.1,86.1,98.1,97.4,"21,337",19.6,57%,60 : 40
Macau University of Science and Technology,MO,464,25.9,4.4,3.4,3.9,56.4,100.0,100.0,26.2,29.5,11.3,251–300,53.1–55.8,33.1,34.2,78.9,65.0,94.7,"14,091",41.8,92%,57 : 43
Mackenzie Presbyterian University,Brazil,,,,,,,,,,,,1501+,9.7–22.7,17.4,10.8,12.4,20.7,28.7,"27,487",28.1,0%,51 : 49
Macquarie University,AU,133,54.1,33.4,39.2,9.1,79.6,99.9,91.6,90.9,54.1,95.0,180,60.1,36.7,44.2,87.4,90.9,88.6,"30,371",51.7,22%,
Mae Fah Luang University,Thailand,,,,,,,,,,,,1001–1200,28.3–32.6,16.2,14.6,47.5,39.6,54.0,"14,768",20.7,5%,72 : 28
Maharishi Markandeshwar University (MMU),India,,,,,,,,,,,,1001–1200,28.3–32.6,26.9,8.9,53.8,17.6,34.3,"9,968",12.6,8%,43 : 57
Mahasarakham University,Thailand,,,,,,,,,,,,1501+,9.7–22.7,18.8,8.5,10.5,17.0,25.0,"37,679",30.2,2%,66 : 34
Mahatma Gandhi University,India,,,,,,,,,,,,501–600,41.9–45.3,38.8,38.1,62.3,23.2,28.1,"2,045",20.5,2%,60 : 40
Mahidol University,TH,368,31.4,44.1,21.8,81.1,4.7,4.9,4.2,57.2,9.8,57.7,601–800,37.0–41.8,39.3,25.0,46.3,78.6,48.7,"28,790",8.9,5%,64 : 36
Makerere University,UG,901-950,-,11.0,4.2,3.4,4.5,9.6,7.5,64.8,98.3,3.5,801–1000,32.7–36.9,23.4,25.3,39.6,52.1,68.1,"29,510",19.2,3%,46 : 54
Malaviya National Institute of Technology,India,,,,,,,,,,,,601–800,37.0–41.8,29.9,15.6,76.5,19.8,20.3,"4,715",17.3,0%,31 : 69
Management and Science University,MY,580,21.3,15.1,18.1,40.2,1.8,97.3,99.4,12.1,4.2,1.2,,,,,,,,,,,
Manchester Metropolitan University (MMU),UK,601-610,-,11.8,12.6,8.1,10.1,42.9,37.7,91.7,12.3,79.6,501–600,41.9–45.3,20.5,18.5,77.4,57.7,80.6,"30,985",17.4,19%,58 : 42
Manipal Academy of Higher Education,India,,,,,,,,,,,,601–800,37.0–41.8,45.0,18.5,46.3,44.9,48.3,"23,602",9.1,12%,47 : 53
"Manipal Academy of Higher Education, Manipal, Karnataka, India",IN,901-950,-,10.9,8.2,42.9,4.4,1.8,7.7,61.2,6.2,16.5,,,,,,,,,,,
Manipal University Jaipur,India,,,,,,,,,,,,1201–1500,22.8–28.2,19.5,14.2,51.9,23.9,24.0,"8,361",14.9,3%,43 : 57
Manisa Celal Bayar University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,14.9,5.2,21.6,16.7,22.0,"28,224",17.9,3%,48 : 52
Mansoura University,EG,951-1000,-,14.1,12.0,3.3,2.6,6.7,5.7,74.7,4.4,40.4,801–1000,32.7–36.9,19.5,12.4,68.1,31.8,74.1,"174,302",40.2,4%,50 : 50
Marche Polytechnic University,Italy,,,,,,,,,,,,601–800,37.0–41.8,23.2,22.6,75.6,64.9,36.0,"14,332",28.9,5%,47 : 53
Maria Curie-Skłodowska University (UMCS),Poland,,,,,,,,,,,,1501+,9.7–22.7,21.6,19.3,22.4,22.7,33.4,"16,937",11.7,9%,68 : 32
Marmara University,TR,1001-1200,-,8.1,11.4,4.4,2.4,2.9,4.2,45.3,23.9,2.7,1501+,9.7–22.7,17.0,11.7,31.9,26.9,30.7,"62,991",30.6,5%,51 : 49
Marquette University,US,1201-1400,-,3.4,2.4,21.1,9.1,6.2,2.7,35.6,11.2,1.2,801–1000,32.7–36.9,36.9,18.2,54.0,49.3,33.1,"10,317",12.2,3%,58 : 42
Martin-Luther-Universität Halle-Wittenberg,DE,671-680,-,13.1,6.4,80.1,7.4,,8.8,90.0,4.8,6.2,,,,,,,,,,,
Masaryk University,CZ,408,29.1,23.5,31.7,9.5,13.8,27.6,66.7,80.2,36.0,79.1,601–800,37.0–41.8,25.9,31.0,50.1,41.7,66.3,"32,789",18.4,23%,62 : 38
Mashhad University of Medical Sciences,Iran,,,,,,,,,,,,601–800,37.0–41.8,34.9,14.7,63.9,28.5,29.7,"8,666",9.0,4%,57 : 43
Massachusetts Institute of Technology (MIT) ,US,1,100,100.0,100.0,100.0,100.0,99.3,86.8,96.0,100.0,99.0,3,97.9,98.6,96.2,99.7,100.0,93.8,"11,085",8.0,33%,41 : 59
Massey University,NZ,239,41.8,30.1,14.0,48.0,27.4,98.5,95.2,85.1,49.2,91.4,501–600,41.9–45.3,28.7,28.2,60.5,77.6,87.5,"17,883",17.4,27%,64 : 36
Matej Bel University,Slovakia,,,,,,,,,,,,1501+,9.7–22.7,19.4,13.9,15.5,16.4,40.7,"6,834",14.2,10%,67 : 33
Maynooth University,IE,801-850,-,10.4,7.7,9.2,12.7,87.4,16.7,48.5,9.2,6.4,401–500,45.4–49.0,21.1,30.7,77.0,58.3,74.8,"11,885",28.5,12%,56 : 44
Mazandaran University of Medical Sciences,Iran,,,,,,,,,,,,601–800,37.0–41.8,44.1,12.4,65.6,28.1,24.7,"6,715",12.4,1%,56 : 44
McGill University,CA,29,83,94.3,87.6,62.3,57.9,83.7,89.6,94.2,98.3,99.1,49,76.0,62.3,72.3,88.8,76.1,92.5,"30,821",11.9,29%,61 : 39
McMaster University,CA,176,49,39.5,34.2,63.8,35.6,96.2,56.7,82.6,49.9,91.9,=103,66.3,43.8,51.3,93.0,100.0,87.3,"28,254",30.9,22%,56 : 44
Medical University of Bialystok,Poland,,,,,,,,,,,,1001–1200,28.3–32.6,39.0,11.8,40.0,39.1,29.9,"5,705",13.1,8%,77 : 23
Medical University of Gdańsk,Poland,,,,,,,,,,,,1001–1200,28.3–32.6,28.7,10.6,47.9,39.6,43.8,"6,340",5.4,17%,73 : 27
Medical University of Graz,Austria,,,,,,,,,,,,201–250,55.9–58.6,32.0,33.5,91.6,94.9,81.9,"4,027",15.5,29%,54 : 46
Medical University of Innsbruck,Austria,,,,,,,,,,,,251–300,53.1–55.8,33.2,29.3,89.6,98.6,88.3,"3,337",12.9,44%,55 : 45
Medical University of Lodz,Poland,,,,,,,,,,,,801–1000,32.7–36.9,27.4,11.0,67.6,39.7,32.3,"10,237",8.4,9%,70 : 30
Medical University of Lublin,Poland,,,,,,,,,,,,1201–1500,22.8–28.2,30.5,12.3,30.5,36.1,36.8,"6,884",5.7,16%,72 : 28
Medical University of Silesia in Katowice,Poland,,,,,,,,,,,,1201–1500,22.8–28.2,28.1,12.4,31.1,29.0,24.7,"10,237",7.3,5%,74 : 26
Medical University of Sofia,Bulgaria,,,,,,,,,,,,1201–1500,22.8–28.2,30.8,13.5,27.9,48.8,53.9,"10,849",5.7,44%,48 : 52
Medical University of Vienna,Austria,,,,,,,,,,,,201–250,55.9–58.6,40.0,28.7,93.5,94.1,81.7,"7,271",8.4,30%,54 : 46
Medical University of Warsaw,Poland,,,,,,,,,,,,1001–1200,28.3–32.6,26.5,13.5,43.6,43.3,31.0,"10,068",6.4,8%,71 : 29
"Mehran University of Engineering and Technology, Jamshoro, Pakistan",Pakistan,,,,,,,,,,,,1001–1200,28.3–32.6,17.1,8.1,55.6,16.9,50.0,"9,704",19.9,0%,21 : 79
Meiji University,JP,1201-1400,-,6.7,19.2,4.4,1.6,10.5,4.6,13.4,17.3,1.1,1501+,9.7–22.7,16.3,12.1,13.5,40.8,31.4,"32,810",34.0,5%,35 : 65
Meijo University,Japan,,,,,,,,,,,,1501+,9.7–22.7,14.5,12.1,11.6,42.8,27.3,"15,000",30.7,1%,34 : 66
Memorial University of Newfoundland,CA,661-670,-,7.2,5.9,10.1,28.6,23.9,78.4,74.1,12.1,16.9,501–600,41.9–45.3,27.5,24.5,60.9,83.2,85.7,"16,318",15.1,23%,55 : 45
Mendel University in Brno,CZ,851-900,-,6.2,6.5,55.1,4.1,11.2,32.1,59.1,3.8,1.2,1201–1500,22.8–28.2,20.9,19.4,36.8,21.0,55.1,"9,019",16.3,17%,57 : 43
Mendeleev University of Chemical Technology,RU,1201-1400,-,4.5,3.9,24.2,2.8,1.1,9.1,15.3,8.8,1.0,1501+,9.7–22.7,19.6,14.1,14.3,43.4,23.6,"7,338",14.9,6%,56 : 44
Metropolitan Autonomous University,Mexico,,,,,,,,,,,,1201–1500,22.8–28.2,19.9,23.9,22.8,28.6,29.2,"60,865",42.1,1%,50 : 50
MGIMO University,RU,567,21.9,9.8,25.4,100.0,1.3,11.3,41.3,5.7,60.0,1.0,,,,,,,,,,,
Miami University,US,1201-1400,-,3.8,5.4,6.2,7.8,3.4,5.5,25.3,26.1,2.2,,,,,,,,,,,
Michigan State University,US,152,51.9,59.5,48.6,11.4,50.3,54.5,12.4,97.5,57.1,96.3,=116,65.4,54.8,52.3,86.2,70.0,71.4,"44,514",16.1,11%,52 : 48
Michigan Technological University,US,901-950,-,4.8,3.7,27.1,28.6,11.4,11.1,52.1,3.1,1.9,,,,,,,,,,,
Middle East Technical University,TR,285,37.2,31.2,70.2,9.0,22.3,12.0,18.3,74.7,77.5,69.5,351–400,49.1–51.0,44.2,43.1,53.6,81.9,56.0,"16,182",21.2,12%,49 : 51
Middle Technical University,Iraq,,,,,,,,,,,,1501+,9.7–22.7,9.4,7.5,23.7,16.9,26.8,"45,510",33.6,0%,42 : 58
Middlesex University,UK,721-730,-,5.3,5.3,8.1,10.6,84.4,99.5,58.3,15.2,4.3,501–600,41.9–45.3,22.8,18.5,80.0,46.8,93.4,"15,545",18.3,50%,59 : 41
Mie University,Japan,,,,,,,,,,,,1201–1500,22.8–28.2,26.9,13.9,23.9,61.8,24.8,"6,983",8.3,3%,38 : 62
Miguel Hernández University of Elche,Spain,,,,,,,,,,,,1001–1200,28.3–32.6,20.4,17.8,43.8,70.7,41.2,"12,189",16.5,8%,50 : 50
Ming Chi University of Technology,Taiwan,,,,,,,,,,,,1001–1200,28.3–32.6,16.4,25.1,43.4,47.1,29.5,"4,415",18.6,2%,25 : 75
Ming Chuan University,Taiwan,,,,,,,,,,,,1501+,9.7–22.7,13.4,12.0,22.6,51.0,38.4,"18,146",21.6,11%,61 : 39
Minia University,Egypt,,,,,,,,,,,,1001–1200,28.3–32.6,17.2,9.5,66.0,19.2,49.6,"75,399",17.7,1%,54 : 46
MIREA - Russian Technological University,RU,1401+,-,5.5,7.0,6.6,1.4,1.3,3.3,9.5,5.2,1.0,1501+,9.7–22.7,15.0,11.7,8.6,48.1,22.2,"26,765",21.5,5%,26 : 74
