country,institute_type,direct_expenditure_type,year,expenditure_pct_gdp
"Korea, Republic of",Higher Education Institutions ,Public,2010,0.7
Mexico,Higher Education Institutions ,Public,2010,1.0
Netherlands,Higher Education Institutions ,Public,2010,1.3
New Zealand,Higher Education Institutions ,Public,2010,1.0
Norway,Higher Education Institutions ,Public,2010,1.6
Poland,Higher Education Institutions ,Public,2010,1.0
Portugal,Higher Education Institutions ,Public,2010,1.0
Slovak Republic,Higher Education Institutions ,Public,2010,0.7
Slovenia,Higher Education Institutions ,Public,2010,1.1
Spain,Higher Education Institutions ,Public,2010,1.1
Sweden,Higher Education Institutions ,Public,2010,1.6
Switzerland,Higher Education Institutions ,Public,2010,1.3
United Kingdom,Higher Education Institutions ,Public,2010,0.7
United States,Higher Education Institutions ,Public,2010,1.0
Brazil,Higher Education Institutions ,Public,2010,0.9
Russia,Higher Education Institutions ,Public,2010,1.0
OECD Average,All Institutions ,Public,2011,5.3
Australia,All Institutions ,Public,2011,4.3
Austria,All Institutions ,Public,2011,5.5
Belgium,All Institutions ,Public,2011,6.4
Chile,All Institutions ,Public,2011,3.9
Czech Republic,All Institutions ,Public,2011,4.4
Denmark,All Institutions ,Public,2011,7.5
Estonia,All Institutions ,Public,2011,5.2
Finland,All Institutions ,Public,2011,6.3
France,All Institutions ,Public,2011,5.6
Germany,All Institutions ,Public,2011,4.4
Hungary,All Institutions ,Public,2011,4.4
Iceland,All Institutions ,Public,2011,6.9
Ireland,All Institutions ,Public,2011,5.7
Israel,All Institutions ,Public,2011,5.6
Italy,All Institutions ,Public,2011,4.2
Japan,All Institutions ,Public,2011,3.6
"Korea, Republic of",All Institutions ,Public,2011,4.9
Mexico,All Institutions ,Public,2011,5.0
Netherlands,All Institutions ,Public,2011,5.3
New Zealand,All Institutions ,Public,2011,6.3
Norway,All Institutions ,Public,2011,7.3
Poland,All Institutions ,Public,2011,4.8
Portugal,All Institutions ,Public,2011,5.1
Slovak Republic,All Institutions ,Public,2011,3.8
Slovenia,All Institutions ,Public,2011,5.3
Spain,All Institutions ,Public,2011,4.7
Sweden,All Institutions ,Public,2011,6.2
Switzerland,All Institutions ,Public,2011,5.2
United Kingdom,All Institutions ,Public,2011,5.6
United States,All Institutions ,Public,2011,4.7
Brazil,All Institutions ,Public,2011,5.9
