University_Key,University_Name_QS,Country_QS,Country_Code,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student_Score,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,University_Name_THE,Country_THE,THE_Rank,THE_Overall_Score,THE_Teaching_Score,THE_Research_Score,THE_Citations_Score,THE_Industry_Income_Score,THE_International_Outlook,Total_Students,Student_Staff_Ratio,International_Students,Female_Male_Ratio,Year
shoolini university of biotechnology and management sciences,Shoolini University of Biotechnology and Management Sciences,India,IN,771-780,-,8.3,12.6,7.3,42.4,24.2,1.7,Shoolini University of Biotechnology and Management Sciences,India,501.0,41.9–45.3,27.6,17.9,85.2,17.7,70.0,"3,251",15.3,1%,47:53:00,2024
university of brighton,University of Brighton,United Kingdom,UK,771-780,-,8.4,7.0,8.9,15.8,56.2,54.2,University of Brighton,United Kingdom,801.0,32.7–36.9,19.8,16.5,53.9,60.9,84.4,"14,525",18.0,22%,60:40:00,2024
university of northern british columbia,University of Northern British Columbia,Canada,CA,781-790,-,3.8,8.5,100.0,1.1,,,University of Northern British Columbia (UNBC),Canada,801.0,32.7–36.9,21.1,21.8,51.7,21.4,52.0,"2,937",16.5,12%,61:39:00,2024
keele university,Keele University ,United Kingdom,UK,781-790,-,6.7,4.3,15.2,27.1,53.1,33.2,Keele University,United Kingdom,501.0,41.9–45.3,21.5,24.6,73.3,66.1,81.3,"9,610",15.8,15%,60:40:00,2024
national institute of technology tiruchirappalli,National Institute of Technology Tiruchirappalli,India,IN,781-790,-,3.7,2.7,11.8,58.9,,2.1,"National Institute of Technology, Tiruchirappalli",India,801.0,32.7–36.9,33.8,17.1,60.2,27.1,21.2,"7,462",20.4,2%,24 : 76,2024
syracuse university,Syracuse University,United States,US,781-790,-,13.6,9.6,11.8,13.7,4.8,44.1,Syracuse University,United States,401.0,45.4–49.0,33.8,28.2,73.3,72.7,56.5,"19,214",14.1,21%,53:47:00,2024
the catholic university of korea,The Catholic University of Korea ,South Korea,KR,781-790,-,3.6,2.7,99.0,12.0,3.3,13.0,The Catholic University of Korea,South Korea,601.0,37.0–41.8,30.7,38.7,42.9,89.9,36.2,"7,389",17.9,7%,57:43:00,2024
universiti malaysia pahang,Universiti Malaysia Pahang,Malaysia,MY,781-790,-,10.1,7.1,15.2,28.3,23.6,9.7,Universiti Malaysia Pahang,Malaysia,601.0,37.0–41.8,27.4,19.0,67.5,28.3,57.9,"8,331",13.5,8%,49:51:00,2024
university of alaska fairbanks,University of Alaska Fairbanks,United States,US,781-790,-,3.1,3.2,99.6,13.4,6.7,3.1,University of Alaska Fairbanks,United States,501.0,41.9–45.3,34.5,31.0,63.1,47.5,70.1,"2,829",7.9,6%,55:45:00,2024
american university,American University,United States,US,791-800,-,16.2,22.8,30.0,4.1,3.0,15.6,American University,United States,601.0,37.0–41.8,35.2,17.1,57.2,38.5,46.5,"12,771",12.0,12%,62:38:00,2024
